source_id,docid,ky_hieu,loai,co_quan,ngay_ban_hanh,ngay_hieu_luc,trich_yeu,url_vb,pdf_local,chars,status,notes
luat93_2015,,93/2015/QH13,Luật,Quốc hội,,2016-07-01,Luật Tố tụng hành chính 13_VBHN-VPQH,,,378154,active_verified,Bach-Xuan/Luật Tố tụng hành chính 13_VBHN-VPQH.txt
luat93_2026,,93/2026/QH15,Luật,Quốc hội,,2020-01-01,93-VBHN-VPQH 2026 Luật Trồng trọt,,,97641,active_verified,Bach-Xuan/93-VBHN-VPQH 2026 Luật Trồng trọt.txt
luat94_2026,,94/2026/QH15,Luật,Quốc hội,,2018-07-01,94-VBHN-VPQH 2026 Luật Thủy lợi,,,98781,active_verified,Bach-Xuan/94-VBHN-VPQH 2026 Luật Thủy lợi.txt
luat97_2025,,97/2025/QH15,Luật,Quốc hội,,2018-01-01,"97-VBHN-VPQH 2025 Luật Quản lý, sử dụng tài sản công",,,190039,active_verified,"Bach-Xuan/97-VBHN-VPQH 2025 Luật Quản lý, sử dụng tài sản công.txt"
luat98_2025,,98/2025/QH15,Luật,Quốc hội,,2018-07-01,98-VBHN-VPQH 2025 Luật Trách nhiệm bồi thường của Nhà nước,,,121485,active_verified,Bach-Xuan/98-VBHN-VPQH 2025 Luật Trách nhiệm bồi thường của Nhà nước.txt
luat98_2026,,98/2026/QH15,Luật,Quốc hội,,2022-01-01,98-VBHN-VPQH 2026 Luật Bảo vệ môi trường,,,361914,active_verified,Bach-Xuan/98-VBHN-VPQH 2026 Luật Bảo vệ môi trường.txt
nd07_2025,212416,07/2025/NĐ-CP,Nghị định,Chính phủ,09-01-2025,09-01-2025,"Sửa đổi, bổ sung một số điều của các Nghị định trong lĩnh vực hộ tịch, quốc tịch, chứng thực",https://vanban.chinhphu.vn/?pageid=27160&docid=212416,data/private_cache/vbpq/nd07_2025.pdf,52129,active_verified,
nd104_2025,213663,104/2025/NĐ-CP,Nghị định,Chính phủ,15-05-2025,01-07-2025,Quy định chi tiết một số điều và biện pháp thi hành Luật Công chứng,https://vanban.chinhphu.vn/?pageid=27160&docid=213663,data/private_cache/vbpq/nd104_2025.pdf,101843,active_verified,
nd115_2015,178129,115/2015/NĐ-CP,Nghị định,Chính phủ,2015-11-11,2016-01-01,Nghị định quy định chi tiết một số điều và biện pháp thi hành Luật Bảo hiểm xã hội về bảo hiểm xã hội bắt buộc,https://vanban.chinhphu.vn,,2476,expired,legacy stub (round19)
nd120_2025,213894,120/2025/NĐ-CP,Nghị định,Chính phủ,2025-06-11,2025-07-01,Nghị định quy định về phân định thẩm quyền của chính quyền địa phương 02 cấp trong lĩnh vực quản lý nhà nước của Bộ Tư pháp,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-120-2025-nd-cp-45062/56730.htm,,29361,active_verified,congbao.chinhphu.vn
nd123_2015,182158,123/2015/NĐ-CP,Nghị định,Chính phủ,15-11-2015,01-01-2016,Quy định chi tiết một số điều và biện pháp thi hành Luật Hộ tịch,https://vanban.chinhphu.vn/?pageid=27160&docid=182158,data/private_cache/vbpq/nd123_2015.pdf,52646,active_verified,
nd126_2014,178372,126/2014/NĐ-CP,Nghị định,Chính phủ,31-12-2014,15-02-2015,Quy định chi tiết một số điều và biện pháp thi hành Luật Hôn nhân và gia đình,https://vanban.chinhphu.vn/?pageid=27160&docid=178372,data/private_cache/vbpq/nd126_2014.pdf,74856,active_verified,
nd135_2020,201650,135/2020/NĐ-CP,Nghị định,Chính phủ,2020-11-18,2021-01-01,Nghị định quy định về tuổi nghỉ hưu,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-135-2020-nd-cp-32525.htm,,15814,active_verified,congbao.chinhphu.vn
